photo_cod,image_path,hpi,ivr
GI239,out_img_norm/GI239_yolo.png,1,1
VI2469,out_img_norm/VI2469_yolo.png,1,7
VI450,out_img_norm/VI450_yolo.png,2,7
VI757,out_img_norm/VI757_yolo.png,3,2
VI3489,out_img_norm/VI3489_yolo.png,0,0
VI1659,out_img_norm/VI1659_yolo.png,5,0
VI2488,out_img_norm/VI2488_yolo.png,1,7
VI3106,out_img_norm/VI3106_yolo.png,0,0
VI1416,out_img_norm/VI1416_yolo.png,0,0
VI2755,out_img_norm/VI2755_yolo.png,5,0
VI3604,out_img_norm/VI3604_yolo.png,1,1
VI2398,out_img_norm/VI2398_yolo.png,0,0
GI350,out_img_norm/GI350_yolo.png,2,7
VI2183,out_img_norm/VI2183_yolo.png,1,4
VI244,out_img_norm/VI244_yolo.png,1,7
VI2176,out_img_norm/VI2176_yolo.png,1,7
VI4349,out_img_norm/VI4349_yolo.png,5,0
VI1666,out_img_norm/VI1666_yolo.png,5,0
VI692,out_img_norm/VI692_yolo.png,1,7
VI918,out_img_norm/VI918_yolo.png,1,7
GI395,out_img_norm/GI395_yolo.png,3,1
VI710,out_img_norm/VI710_yolo.png,1,7
GI816,out_img_norm/GI816_yolo.png,0,0
GI721,out_img_norm/GI721_yolo.png,0,0
VI4080,out_img_norm/VI4080_yolo.png,4,1
VI832,out_img_norm/VI832_yolo.png,1,1
VI3594,out_img_norm/VI3594_yolo.png,0,0
VI1387,out_img_norm/VI1387_yolo.png,1,6
VI396,out_img_norm/VI396_yolo.png,1,7
VI1842,out_img_norm/VI1842_yolo.png,1,1
VI781,out_img_norm/VI781_yolo.png,5,0
VI621,out_img_norm/VI621_yolo.png,0,0
VI1760,out_img_norm/VI1760_yolo.png,2,1
GI173,out_img_norm/GI173_yolo.png,5,0
VI957,out_img_norm/VI957_yolo.png,5,0
VI1951,out_img_norm/VI1951_yolo.png,6,0
VI2678,out_img_norm/VI2678_yolo.png,0,0
GI326,out_img_norm/GI326_yolo.png,5,0
VI579,out_img_norm/VI579_yolo.png,1,7
VI1318,out_img_norm/VI1318_yolo.png,5,0
VI1271,out_img_norm/VI1271_yolo.png,6,0
GI218,out_img_norm/GI218_yolo.png,5,0
VI1057,out_img_norm/VI1057_yolo.png,1,4
GI297,out_img_norm/GI297_yolo.png,0,0
VI4140,out_img_norm/VI4140_yolo.png,2,7
VI4396,out_img_norm/VI4396_yolo.png,5,0
VI3268,out_img_norm/VI3268_yolo.png,2,7
GI371,out_img_norm/GI371_yolo.png,1,3
VI1468,out_img_norm/VI1468_yolo.png,6,0
VI2471,out_img_norm/VI2471_yolo.png,0,0
VI2904,out_img_norm/VI2904_yolo.png,2,5
VI4162,out_img_norm/VI4162_yolo.png,0,0
VI3205,out_img_norm/VI3205_yolo.png,0,0
VI1496,out_img_norm/VI1496_yolo.png,1,1
VI49,out_img_norm/VI49_yolo.png,0,0
VI2285,out_img_norm/VI2285_yolo.png,0,0
VI111,out_img_norm/VI111_yolo.png,1,5
VI2086,out_img_norm/VI2086_yolo.png,5,0
VI46,out_img_norm/VI46_yolo.png,0,0
VI1633,out_img_norm/VI1633_yolo.png,1,1
VI2797,out_img_norm/VI2797_yolo.png,4,6
VI137,out_img_norm/VI137_yolo.png,1,7
VI3423,out_img_norm/VI3423_yolo.png,0,0
VI1978,out_img_norm/VI1978_yolo.png,2,6
VI3246,out_img_norm/VI3246_yolo.png,0,0
VI955,out_img_norm/VI955_yolo.png,4,1
VI1850,out_img_norm/VI1850_yolo.png,5,0
VI2446,out_img_norm/VI2446_yolo.png,0,0
GI766,out_img_norm/GI766_yolo.png,1,7
VI3392,out_img_norm/VI3392_yolo.png,1,7
VI861,out_img_norm/VI861_yolo.png,1,6
VI417,out_img_norm/VI417_yolo.png,1,7
GI22,out_img_norm/GI22_yolo.png,0,0
VI2804,out_img_norm/VI2804_yolo.png,1,1
VI173,out_img_norm/VI173_yolo.png,1,7
GI17,out_img_norm/GI17_yolo.png,1,6
GI55,out_img_norm/GI55_yolo.png,5,0
VI2337,out_img_norm/VI2337_yolo.png,0,0
VI3566,out_img_norm/VI3566_yolo.png,6,0
VI1407,out_img_norm/VI1407_yolo.png,1,6
VI2426,out_img_norm/VI2426_yolo.png,0,0
VI768,out_img_norm/VI768_yolo.png,2,1
VI2851,out_img_norm/VI2851_yolo.png,1,7
VI4294,out_img_norm/VI4294_yolo.png,1,6
VI3551,out_img_norm/VI3551_yolo.png,1,7
GI377,out_img_norm/GI377_yolo.png,0,0
GI920,out_img_norm/GI920_yolo.png,3,1
VI848,out_img_norm/VI848_yolo.png,1,2
VI4028,out_img_norm/VI4028_yolo.png,2,1
VI4275,out_img_norm/VI4275_yolo.png,1,3
VI1400,out_img_norm/VI1400_yolo.png,1,7
VI1746,out_img_norm/VI1746_yolo.png,1,7
VI1616,out_img_norm/VI1616_yolo.png,1,7
VI2761,out_img_norm/VI2761_yolo.png,1,1
VI2702,out_img_norm/VI2702_yolo.png,1,1
VI2029,out_img_norm/VI2029_yolo.png,1,7
VI570,out_img_norm/VI570_yolo.png,1,7
VI3150,out_img_norm/VI3150_yolo.png,0,0
GI284,out_img_norm/GI284_yolo.png,0,0
VI3052,out_img_norm/VI3052_yolo.png,2,1
VI438,out_img_norm/VI438_yolo.png,1,7
VI1310,out_img_norm/VI1310_yolo.png,5,0
VI2848,out_img_norm/VI2848_yolo.png,2,7
VI4109,out_img_norm/VI4109_yolo.png,1,7
VI3434,out_img_norm/VI3434_yolo.png,0,0
VI1395,out_img_norm/VI1395_yolo.png,0,0
VI2705,out_img_norm/VI2705_yolo.png,0,0
GI132,out_img_norm/GI132_yolo.png,2,7
VI4444,out_img_norm/VI4444_yolo.png,2,2
VI3333,out_img_norm/VI3333_yolo.png,1,5
VI718,out_img_norm/VI718_yolo.png,1,7
VI1954,out_img_norm/VI1954_yolo.png,1,4
VI309,out_img_norm/VI309_yolo.png,1,1
VI2096,out_img_norm/VI2096_yolo.png,1,7
VI1683,out_img_norm/VI1683_yolo.png,1,1
VI2162,out_img_norm/VI2162_yolo.png,5,0
VI1920,out_img_norm/VI1920_yolo.png,1,6
VI584,out_img_norm/VI584_yolo.png,0,0
VI2049,out_img_norm/VI2049_yolo.png,3,4
VI1776,out_img_norm/VI1776_yolo.png,1,1
VI463,out_img_norm/VI463_yolo.png,1,7
VI1780,out_img_norm/VI1780_yolo.png,1,1
VI4291,out_img_norm/VI4291_yolo.png,2,6
GI815,out_img_norm/GI815_yolo.png,0,0
GI102,out_img_norm/GI102_yolo.png,2,2
VI432,out_img_norm/VI432_yolo.png,2,7
VI130,out_img_norm/VI130_yolo.png,1,7
VI1793,out_img_norm/VI1793_yolo.png,1,7
VI3660,out_img_norm/VI3660_yolo.png,2,1
GI98,out_img_norm/GI98_yolo.png,2,7
VI1963,out_img_norm/VI1963_yolo.png,1,7
VI662,out_img_norm/VI662_yolo.png,1,6
VI2817,out_img_norm/VI2817_yolo.png,1,1
VI2063,out_img_norm/VI2063_yolo.png,1,7
VI2472,out_img_norm/VI2472_yolo.png,0,0
GI488,out_img_norm/GI488_yolo.png,2,3
VI3415,out_img_norm/VI3415_yolo.png,1,7
GI15,out_img_norm/GI15_yolo.png,1,7
VI944,out_img_norm/VI944_yolo.png,5,0
GI687,out_img_norm/GI687_yolo.png,1,7
VI233,out_img_norm/VI233_yolo.png,0,0
VI2841,out_img_norm/VI2841_yolo.png,2,1
VI1098,out_img_norm/VI1098_yolo.png,1,7
VI1085,out_img_norm/VI1085_yolo.png,1,6
GI1,out_img_norm/GI1_yolo.png,2,7
VI2174,out_img_norm/VI2174_yolo.png,1,7
VI2962,out_img_norm/VI2962_yolo.png,3,5
VI1304,out_img_norm/VI1304_yolo.png,5,0
GI777,out_img_norm/GI777_yolo.png,0,0
VI2006,out_img_norm/VI2006_yolo.png,1,7
VI1595,out_img_norm/VI1595_yolo.png,0,0
GI130,out_img_norm/GI130_yolo.png,1,6
VI726,out_img_norm/VI726_yolo.png,1,7
VI749,out_img_norm/VI749_yolo.png,1,7
VI2474,out_img_norm/VI2474_yolo.png,0,0
VI306,out_img_norm/VI306_yolo.png,1,7
VI60,out_img_norm/VI60_yolo.png,1,7
GI33,out_img_norm/GI33_yolo.png,2,6
VI4280,out_img_norm/VI4280_yolo.png,1,6
VI3521,out_img_norm/VI3521_yolo.png,4,1
VI3002,out_img_norm/VI3002_yolo.png,5,0
VI709,out_img_norm/VI709_yolo.png,1,7
VI597,out_img_norm/VI597_yolo.png,1,6
VI1418,out_img_norm/VI1418_yolo.png,1,7
VI569,out_img_norm/VI569_yolo.png,1,7
VI1678,out_img_norm/VI1678_yolo.png,1,7
GI824,out_img_norm/GI824_yolo.png,5,0
VI1830,out_img_norm/VI1830_yolo.png,1,7
VI1918,out_img_norm/VI1918_yolo.png,1,2
GI146,out_img_norm/GI146_yolo.png,1,7
VI80,out_img_norm/VI80_yolo.png,2,6
VI29,out_img_norm/VI29_yolo.png,0,0
VI1614,out_img_norm/VI1614_yolo.png,1,1
VI349,out_img_norm/VI349_yolo.png,0,0
VI1303,out_img_norm/VI1303_yolo.png,5,0
VI730,out_img_norm/VI730_yolo.png,1,6
GI172,out_img_norm/GI172_yolo.png,4,1
VI1243,out_img_norm/VI1243_yolo.png,4,1
GI237,out_img_norm/GI237_yolo.png,5,0
VI3991,out_img_norm/VI3991_yolo.png,2,2
VI4421,out_img_norm/VI4421_yolo.png,6,0
VI3152,out_img_norm/VI3152_yolo.png,0,0
VI2351,out_img_norm/VI2351_yolo.png,0,0
VI1944,out_img_norm/VI1944_yolo.png,1,2
GI125,out_img_norm/GI125_yolo.png,3,5
VI1508,out_img_norm/VI1508_yolo.png,2,1
VI1561,out_img_norm/VI1561_yolo.png,1,7
GI156,out_img_norm/GI156_yolo.png,5,0
VI3444,out_img_norm/VI3444_yolo.png,0,0
GI368,out_img_norm/GI368_yolo.png,5,0
VI4137,out_img_norm/VI4137_yolo.png,2,1
VI383,out_img_norm/VI383_yolo.png,1,5
VI2728,out_img_norm/VI2728_yolo.png,2,1
GI802,out_img_norm/GI802_yolo.png,0,0
GI559,out_img_norm/GI559_yolo.png,0,0
VI834,out_img_norm/VI834_yolo.png,3,1
VI4025,out_img_norm/VI4025_yolo.png,1,1
VI698,out_img_norm/VI698_yolo.png,1,7
VI112,out_img_norm/VI112_yolo.png,1,7
VI1994,out_img_norm/VI1994_yolo.png,6,0
GI6,out_img_norm/GI6_yolo.png,1,7
VI3076,out_img_norm/VI3076_yolo.png,2,1
VI4188,out_img_norm/VI4188_yolo.png,2,3
VI2753,out_img_norm/VI2753_yolo.png,5,0
GI558,out_img_norm/GI558_yolo.png,1,7
GI830,out_img_norm/GI830_yolo.png,1,7
VI3531,out_img_norm/VI3531_yolo.png,1,1
VI628,out_img_norm/VI628_yolo.png,1,7
VI20,out_img_norm/VI20_yolo.png,5,0
VI280,out_img_norm/VI280_yolo.png,1,7
VI3190,out_img_norm/VI3190_yolo.png,0,0
GI540,out_img_norm/GI540_yolo.png,0,0
VI4307,out_img_norm/VI4307_yolo.png,5,0
GI77,out_img_norm/GI77_yolo.png,1,7
VI859,out_img_norm/VI859_yolo.png,5,0
GI51,out_img_norm/GI51_yolo.png,0,0
VI275,out_img_norm/VI275_yolo.png,1,7
VI665,out_img_norm/VI665_yolo.png,1,7
VI1467,out_img_norm/VI1467_yolo.png,0,0
VI3518,out_img_norm/VI3518_yolo.png,0,0
VI559,out_img_norm/VI559_yolo.png,1,1
VI1048,out_img_norm/VI1048_yolo.png,0,0
VI4328,out_img_norm/VI4328_yolo.png,2,1
VI2770,out_img_norm/VI2770_yolo.png,1,1
VI1748,out_img_norm/VI1748_yolo.png,0,0
VI935,out_img_norm/VI935_yolo.png,5,0
VI2943,out_img_norm/VI2943_yolo.png,3,2
VI1250,out_img_norm/VI1250_yolo.png,4,1
GI97,out_img_norm/GI97_yolo.png,5,0
VI577,out_img_norm/VI577_yolo.png,0,0
VI1527,out_img_norm/VI1527_yolo.png,1,1
VI2312,out_img_norm/VI2312_yolo.png,0,0
VI3331,out_img_norm/VI3331_yolo.png,1,6
VI1706,out_img_norm/VI1706_yolo.png,2,7
VI3087,out_img_norm/VI3087_yolo.png,0,0
VI748,out_img_norm/VI748_yolo.png,0,0
GI317,out_img_norm/GI317_yolo.png,5,0
VI1661,out_img_norm/VI1661_yolo.png,5,0
VI2364,out_img_norm/VI2364_yolo.png,0,0
VI1731,out_img_norm/VI1731_yolo.png,2,7
VI4443,out_img_norm/VI4443_yolo.png,1,1
VI1350,out_img_norm/VI1350_yolo.png,5,0
GI791,out_img_norm/GI791_yolo.png,0,0
VI1563,out_img_norm/VI1563_yolo.png,1,6
VI1893,out_img_norm/VI1893_yolo.png,1,2
VI987,out_img_norm/VI987_yolo.png,1,2
VI3462,out_img_norm/VI3462_yolo.png,0,0
VI3421,out_img_norm/VI3421_yolo.png,0,0
VI884,out_img_norm/VI884_yolo.png,1,6
VI460,out_img_norm/VI460_yolo.png,0,0
VI81,out_img_norm/VI81_yolo.png,1,7
VI4447,out_img_norm/VI4447_yolo.png,0,0
VI3348,out_img_norm/VI3348_yolo.png,2,7
VI1841,out_img_norm/VI1841_yolo.png,2,1
VI2173,out_img_norm/VI2173_yolo.png,1,1
VI712,out_img_norm/VI712_yolo.png,1,6
GI214,out_img_norm/GI214_yolo.png,5,0
GI715,out_img_norm/GI715_yolo.png,0,0
VI2922,out_img_norm/VI2922_yolo.png,2,7
VI208,out_img_norm/VI208_yolo.png,1,7
VI3475,out_img_norm/VI3475_yolo.png,1,7
VI4168,out_img_norm/VI4168_yolo.png,1,7
GI811,out_img_norm/GI811_yolo.png,1,7
GI62,out_img_norm/GI62_yolo.png,0,0
VI157,out_img_norm/VI157_yolo.png,1,7
VI3385,out_img_norm/VI3385_yolo.png,0,0
VI1516,out_img_norm/VI1516_yolo.png,3,1
GI88,out_img_norm/GI88_yolo.png,2,6
VI503,out_img_norm/VI503_yolo.png,0,0
VI1332,out_img_norm/VI1332_yolo.png,6,0
VI2403,out_img_norm/VI2403_yolo.png,1,1
VI3069,out_img_norm/VI3069_yolo.png,1,6
VI3030,out_img_norm/VI3030_yolo.png,1,7
VI3422,out_img_norm/VI3422_yolo.png,0,0
VI1724,out_img_norm/VI1724_yolo.png,3,7
VI1895,out_img_norm/VI1895_yolo.png,1,7
VI1924,out_img_norm/VI1924_yolo.png,0,0
VI1415,out_img_norm/VI1415_yolo.png,1,7
VI312,out_img_norm/VI312_yolo.png,3,6
VI3014,out_img_norm/VI3014_yolo.png,1,6
VI1964,out_img_norm/VI1964_yolo.png,1,6
VI4000,out_img_norm/VI4000_yolo.png,1,6
VI1210,out_img_norm/VI1210_yolo.png,1,1
VI1503,out_img_norm/VI1503_yolo.png,3,2
VI4013,out_img_norm/VI4013_yolo.png,1,1
GI188,out_img_norm/GI188_yolo.png,4,1
VI456,out_img_norm/VI456_yolo.png,1,7
VI1288,out_img_norm/VI1288_yolo.png,6,0
VI2638,out_img_norm/VI2638_yolo.png,5,0
VI1298,out_img_norm/VI1298_yolo.png,6,0
VI2666,out_img_norm/VI2666_yolo.png,1,7
GI13,out_img_norm/GI13_yolo.png,3,6
VI2899,out_img_norm/VI2899_yolo.png,2,1
VI1286,out_img_norm/VI1286_yolo.png,6,0
VI1127,out_img_norm/VI1127_yolo.png,1,6
VI1340,out_img_norm/VI1340_yolo.png,6,0
VI3448,out_img_norm/VI3448_yolo.png,1,7
VI4211,out_img_norm/VI4211_yolo.png,0,0
VI3363,out_img_norm/VI3363_yolo.png,2,5
VI2855,out_img_norm/VI2855_yolo.png,0,0
VI3217,out_img_norm/VI3217_yolo.png,1,7
VI4463,out_img_norm/VI4463_yolo.png,1,2
GI787,out_img_norm/GI787_yolo.png,0,0
VI109,out_img_norm/VI109_yolo.png,1,7
GI809,out_img_norm/GI809_yolo.png,0,0
VI4009,out_img_norm/VI4009_yolo.png,1,1
VI3218,out_img_norm/VI3218_yolo.png,2,7
VI3512,out_img_norm/VI3512_yolo.png,3,1
VI840,out_img_norm/VI840_yolo.png,1,2
VI2273,out_img_norm/VI2273_yolo.png,1,1
VI1941,out_img_norm/VI1941_yolo.png,1,1
GI709,out_img_norm/GI709_yolo.png,0,0
VI4420,out_img_norm/VI4420_yolo.png,0,0
VI276,out_img_norm/VI276_yolo.png,0,0
VI1442,out_img_norm/VI1442_yolo.png,1,7
GI825,out_img_norm/GI825_yolo.png,0,0
VI3383,out_img_norm/VI3383_yolo.png,1,7
VI2052,out_img_norm/VI2052_yolo.png,0,0
VI3127,out_img_norm/VI3127_yolo.png,1,7
VI47,out_img_norm/VI47_yolo.png,0,0
VI3743,out_img_norm/VI3743_yolo.png,1,7
VI1497,out_img_norm/VI1497_yolo.png,3,1
VI1022,out_img_norm/VI1022_yolo.png,1,6
VI3416,out_img_norm/VI3416_yolo.png,1,7
VI571,out_img_norm/VI571_yolo.png,5,0
VI363,out_img_norm/VI363_yolo.png,4,3
VI1347,out_img_norm/VI1347_yolo.png,5,0
VI1211,out_img_norm/VI1211_yolo.png,5,0
VI2185,out_img_norm/VI2185_yolo.png,0,0
GI726,out_img_norm/GI726_yolo.png,0,0
VI4388,out_img_norm/VI4388_yolo.png,5,0
VI721,out_img_norm/VI721_yolo.png,1,7
VI4167,out_img_norm/VI4167_yolo.png,1,1
VI1175,out_img_norm/VI1175_yolo.png,1,2
VI2438,out_img_norm/VI2438_yolo.png,0,0
GI312,out_img_norm/GI312_yolo.png,0,0
VI2825,out_img_norm/VI2825_yolo.png,3,1
VI3011,out_img_norm/VI3011_yolo.png,0,0
VI4350,out_img_norm/VI4350_yolo.png,5,0
VI4006,out_img_norm/VI4006_yolo.png,2,1
VI4312,out_img_norm/VI4312_yolo.png,6,0
VI3034,out_img_norm/VI3034_yolo.png,1,6
VI998,out_img_norm/VI998_yolo.png,1,2
VI899,out_img_norm/VI899_yolo.png,1,3
VI4236,out_img_norm/VI4236_yolo.png,2,1
VI920,out_img_norm/VI920_yolo.png,5,0
VI300,out_img_norm/VI300_yolo.png,1,6
GI48,out_img_norm/GI48_yolo.png,1,6
VI2012,out_img_norm/VI2012_yolo.png,0,0
VI440,out_img_norm/VI440_yolo.png,2,7
GI61,out_img_norm/GI61_yolo.png,1,7
VI237,out_img_norm/VI237_yolo.png,2,7
VI3519,out_img_norm/VI3519_yolo.png,5,0
VI1105,out_img_norm/VI1105_yolo.png,1,7
VI1653,out_img_norm/VI1653_yolo.png,0,0
VI836,out_img_norm/VI836_yolo.png,5,0
VI474,out_img_norm/VI474_yolo.png,5,0
GI773,out_img_norm/GI773_yolo.png,0,0
GI510,out_img_norm/GI510_yolo.png,2,7
VI725,out_img_norm/VI725_yolo.png,1,6
VI210,out_img_norm/VI210_yolo.png,1,7
GI72,out_img_norm/GI72_yolo.png,2,7
VI4086,out_img_norm/VI4086_yolo.png,5,0
VI2430,out_img_norm/VI2430_yolo.png,0,0
VI2737,out_img_norm/VI2737_yolo.png,1,1
GI712,out_img_norm/GI712_yolo.png,0,0
VI2166,out_img_norm/VI2166_yolo.png,2,7
VI4264,out_img_norm/VI4264_yolo.png,1,7
VI1191,out_img_norm/VI1191_yolo.png,5,0
GI294,out_img_norm/GI294_yolo.png,0,0
VI2730,out_img_norm/VI2730_yolo.png,2,1
VI661,out_img_norm/VI661_yolo.png,6,0
VI4305,out_img_norm/VI4305_yolo.png,5,0
VI4135,out_img_norm/VI4135_yolo.png,1,1
VI2822,out_img_norm/VI2822_yolo.png,2,1
VI4460,out_img_norm/VI4460_yolo.png,1,1
GI276,out_img_norm/GI276_yolo.png,2,1
VI956,out_img_norm/VI956_yolo.png,5,0
VI3301,out_img_norm/VI3301_yolo.png,0,0
VI1551,out_img_norm/VI1551_yolo.png,1,1
GI789,out_img_norm/GI789_yolo.png,0,0
VI4196,out_img_norm/VI4196_yolo.png,1,7
VI2489,out_img_norm/VI2489_yolo.png,1,7
VI3587,out_img_norm/VI3587_yolo.png,0,0
VI332,out_img_norm/VI332_yolo.png,2,7
VI2105,out_img_norm/VI2105_yolo.png,1,7
VI695,out_img_norm/VI695_yolo.png,1,6
GI686,out_img_norm/GI686_yolo.png,1,7
VI4223,out_img_norm/VI4223_yolo.png,1,7
VI2355,out_img_norm/VI2355_yolo.png,1,1
VI556,out_img_norm/VI556_yolo.png,1,7
VI1806,out_img_norm/VI1806_yolo.png,1,7
VI3266,out_img_norm/VI3266_yolo.png,1,7
VI3485,out_img_norm/VI3485_yolo.png,0,0
VI851,out_img_norm/VI851_yolo.png,3,3
VI455,out_img_norm/VI455_yolo.png,1,7
VI1902,out_img_norm/VI1902_yolo.png,2,7
GI240,out_img_norm/GI240_yolo.png,3,1
GI87,out_img_norm/GI87_yolo.png,1,6
VI3175,out_img_norm/VI3175_yolo.png,0,0
VI988,out_img_norm/VI988_yolo.png,1,3
VI4151,out_img_norm/VI4151_yolo.png,0,0
VI2918,out_img_norm/VI2918_yolo.png,3,3
GI298,out_img_norm/GI298_yolo.png,1,2
VI1276,out_img_norm/VI1276_yolo.png,6,0
VI146,out_img_norm/VI146_yolo.png,1,7
VI1533,out_img_norm/VI1533_yolo.png,1,7
VI604,out_img_norm/VI604_yolo.png,1,7
GI608,out_img_norm/GI608_yolo.png,1,7
VI295,out_img_norm/VI295_yolo.png,2,7
VI368,out_img_norm/VI368_yolo.png,1,7
VI1139,out_img_norm/VI1139_yolo.png,1,7
VI825,out_img_norm/VI825_yolo.png,0,0
GI728,out_img_norm/GI728_yolo.png,0,0
GI272,out_img_norm/GI272_yolo.png,3,1
GI713,out_img_norm/GI713_yolo.png,1,7
VI3275,out_img_norm/VI3275_yolo.png,2,7
VI1051,out_img_norm/VI1051_yolo.png,1,6
VI4249,out_img_norm/VI4249_yolo.png,1,6
VI2888,out_img_norm/VI2888_yolo.png,1,7
VI1124,out_img_norm/VI1124_yolo.png,1,6
GI731,out_img_norm/GI731_yolo.png,0,0
GI807,out_img_norm/GI807_yolo.png,0,0
VI2736,out_img_norm/VI2736_yolo.png,1,1
VI3039,out_img_norm/VI3039_yolo.png,2,1
VI21,out_img_norm/VI21_yolo.png,5,0
VI3586,out_img_norm/VI3586_yolo.png,1,7
VI259,out_img_norm/VI259_yolo.png,1,7
VI619,out_img_norm/VI619_yolo.png,1,3
GI524,out_img_norm/GI524_yolo.png,0,0
GI158,out_img_norm/GI158_yolo.png,1,7
VI4296,out_img_norm/VI4296_yolo.png,4,5
VI3996,out_img_norm/VI3996_yolo.png,1,1
GI732,out_img_norm/GI732_yolo.png,1,7
VI3085,out_img_norm/VI3085_yolo.png,1,2
GI280,out_img_norm/GI280_yolo.png,3,1
VI1246,out_img_norm/VI1246_yolo.png,5,0
VI2892,out_img_norm/VI2892_yolo.png,2,1
VI92,out_img_norm/VI92_yolo.png,1,6
VI2361,out_img_norm/VI2361_yolo.png,1,7
VI2605,out_img_norm/VI2605_yolo.png,5,0
VI1709,out_img_norm/VI1709_yolo.png,3,1
VI2333,out_img_norm/VI2333_yolo.png,6,0
VI2250,out_img_norm/VI2250_yolo.png,1,7
VI902,out_img_norm/VI902_yolo.png,1,7
VI513,out_img_norm/VI513_yolo.png,1,5
VI3111,out_img_norm/VI3111_yolo.png,0,0
VI655,out_img_norm/VI655_yolo.png,1,6
GI591,out_img_norm/GI591_yolo.png,0,0
GI153,out_img_norm/GI153_yolo.png,1,7
VI4263,out_img_norm/VI4263_yolo.png,2,6
VI2829,out_img_norm/VI2829_yolo.png,4,7
VI3429,out_img_norm/VI3429_yolo.png,2,2
VI178,out_img_norm/VI178_yolo.png,1,7
VI1091,out_img_norm/VI1091_yolo.png,1,6
VI3386,out_img_norm/VI3386_yolo.png,1,7
GI182,out_img_norm/GI182_yolo.png,3,1
VI403,out_img_norm/VI403_yolo.png,1,7
VI3731,out_img_norm/VI3731_yolo.png,1,1
VI4124,out_img_norm/VI4124_yolo.png,3,3
VI1635,out_img_norm/VI1635_yolo.png,1,1
VI1640,out_img_norm/VI1640_yolo.png,0,0
VI1557,out_img_norm/VI1557_yolo.png,0,0
GI159,out_img_norm/GI159_yolo.png,0,0
VI2413,out_img_norm/VI2413_yolo.png,0,0
GI661,out_img_norm/GI661_yolo.png,0,0
VI56,out_img_norm/VI56_yolo.png,1,6
VI1059,out_img_norm/VI1059_yolo.png,1,2
VI121,out_img_norm/VI121_yolo.png,1,6
GI821,out_img_norm/GI821_yolo.png,1,7
